Date,Open,High,Low,Close,Adj Close,Volume
2018-08-20,291.700012,308.500000,288.200012,308.440002,308.440002,17402300
2018-08-21,310.609985,324.790009,309.000000,321.899994,321.899994,13172200
2018-08-22,320.869995,323.880005,314.670013,321.640015,321.640015,5946000
2018-08-23,319.140015,327.320007,318.100006,320.100006,320.100006,5147300
2018-08-24,320.700012,323.850006,319.399994,322.820007,322.820007,3602600
2018-08-27,318.000000,322.440002,308.809998,319.269989,319.269989,13079300
2018-08-28,318.410004,318.880005,311.190002,311.859985,311.859985,7649100
2018-08-29,310.269989,311.850006,303.690002,305.010010,305.010010,7447400
2018-08-30,302.260010,304.600006,297.720001,303.149994,303.149994,7216700
2018-08-31,302.000000,305.309998,298.600006,301.660004,301.660004,5375100
2018-09-04,296.940002,298.190002,288.000000,288.950012,288.950012,8350500
2018-09-05,285.049988,286.779999,277.179993,280.739990,280.739990,7720800
2018-09-06,284.799988,291.170013,278.880005,280.950012,280.950012,7480800
2018-09-07,260.100006,268.350006,252.250000,263.239990,263.239990,22491900
2018-09-10,273.260010,286.029999,271.000000,285.500000,285.500000,14283500
2018-09-11,279.470001,282.000000,273.549988,279.440002,279.440002,9170000
2018-09-12,281.440002,292.500000,278.649994,290.540009,290.540009,10015400
2018-09-13,288.019989,295.000000,285.179993,289.459991,289.459991,6340300
2018-09-14,288.760010,297.329987,286.519989,295.200012,295.200012,6765600
2018-09-17,290.040009,300.869995,288.130005,294.839996,294.839996,6887600
2018-09-18,296.690002,302.640015,275.500000,284.959991,284.959991,16499600
2018-09-19,280.510010,295.790009,280.500000,295.200012,295.200012,5751644
